time,open,high,low,close,volume,adjClose,changesPercentage
2026-02-06,146.62,149.57,146.09,149.05,17212561,149.02,2.03
2026-02-05,146.58,146.73,143.79,146.08,18431739,146.08,-1.02
2026-02-04,144.12,147.84,144.12,147.59,29426241,147.59,2.69
2026-02-03,138.64,145.01,138.31,143.73,37577844,143.73,3.85
2026-02-02,139.83,140.32,138.06,138.4,27735600,138.4,-2.12
2026-01-30,138.74,142.21,137.83,141.4,29657700,141.4,0.63
2026-01-29,140.32,142.34,139.11,140.51,35760620,140.51,2.13
2026-01-28,137.69,138.01,136.67,137.58,15637300,137.58,0.55
2026-01-27,135.25,136.93,134.71,136.83,14517025,136.83,1.48
2026-01-26,136.93,136.94,134.17,134.84,16056100,134.84,-0.10
2026-01-23,135.09,135.98,134.48,134.97,17758214,134.97,1.00
2026-01-22,133.05,134.18,131.85,133.64,16600126,133.64,0.02
2026-01-21,131.91,133.73,131.91,133.61,18879900,133.61,2.41
2026-01-20,131.51,131.94,130.07,130.46,16477300,130.46,0.44
2026-01-16,128.91,130.16,128.87,129.89,16592400,129.89,0.59
2026-01-15,129.13,130.2,128.3,129.13,17400039,129.13,-0.82
2026-01-14,127.35,131.72,127.13,130.2,27593938,130.2,2.89
2026-01-13,125,127.14,124.81,126.54,21619727,126.54,2.02
2026-01-12,124.46,124.5,122.56,124.03,15314900,124.03,-0.47
2026-01-09,123.23,124.86,123.1,124.61,16137700,124.61,1.38
2026-01-08,118.98,123.63,118.66,122.91,20232721,122.91,3.73
2026-01-07,119.8,120.12,118.27,118.49,20353000,118.49,-2.11
2026-01-06,125.35,125.8,121,121.05,23328636,121.05,-3.44
2026-01-05,125.21,125.93,122.39,125.36,30112238,125.36,2.21
2026-01-02,120.09,122.68,119.61,122.65,14175100,122.65,1.92
2025-12-31,121.18,121.26,119.87,120.34,10559900,120.34,-0.54
2025-12-30,121.1,121.8,120.63,120.99,11150500,120.99,0.38
2025-12-29,120.15,121.3,119.4,120.53,14782512,120.53,1.19
2025-12-26,118.89,119.55,118.53,119.11,8066129,119.11,-0.09
2025-12-24,119.33,120.05,119.12,119.22,6137406,119.22,-0.17
2025-12-23,118.47,120.03,118.32,119.42,12567630,119.42,1.07
2025-12-22,117.34,118.46,117.34,118.15,11768611,118.15,1.25
2025-12-19,116.75,117.57,115.96,116.69,45412814,116.69,0.13
2025-12-18,116.99,116.99,115.63,116.54,13705600,116.54,-0.74
2025-12-17,115.21,117.62,115.17,117.41,18502200,117.41,2.38
2025-12-16,116.77,116.84,114.61,114.68,17638716,114.68,-2.62
2025-12-15,119.01,119.03,116.85,117.76,16358700,117.76,-0.89
2025-12-12,119.44,119.92,118.31,118.82,14459538,118.82,-0.60
2025-12-11,119.11,120.36,119.07,119.54,14781800,119.54,0.00
2025-12-10,118.73,119.87,118.37,119.54,19845200,119.54,1.09
2025-12-09,116.9,120.47,116.89,118.25,23790815,118.25,1.96
2025-12-08,115.83,117,115.04,115.98,14904200,115.98,-0.48
2025-12-05,116.75,118.78,116.41,116.54,12516900,116.54,-0.51
2025-12-04,117.5,118.34,116.66,117.14,13686900,117.14,-0.56
2025-12-03,115.95,117.98,115.88,117.8,16819130,117.8,2.10
2025-12-02,116.44,116.6,114.69,115.38,14607704,115.38,-1.07
2025-12-01,116.1,117.41,116.1,116.63,12658100,116.63,0.61
2025-11-28,114.95,118.74,114.82,115.92,7240825,115.92,1.00
2025-11-26,114.41,115.74,114.31,114.77,11650600,114.77,0.23
2025-11-25,115.18,115.9,114.19,114.51,14434600,114.51,-1.26
2025-11-24,117.2,117.2,114.74,115.97,18034923,115.97,-0.95
2025-11-21,116.99,117.38,115.65,117.08,15667600,117.08,0.05
2025-11-20,117.98,119.01,116.74,117.02,14401011,117.02,-0.28
2025-11-19,116.85,118.18,115.93,117.35,15919239,117.35,-1.41
2025-11-18,117.26,119.48,116.48,119.03,15808518,119.03,1.15
2025-11-17,118.97,119.5,117.11,117.68,16034900,117.68,-1.35
2025-11-14,118.45,119.48,116.66,119.29,17064300,119.29,0.42
2025-11-13,118.63,119.76,118.28,118.79,17291900,117.76,0.57
2025-11-12,119.1,119.28,117.79,118.12,13790900,117.1,-1.39
2025-11-11,118.83,120.81,118.83,119.78,16077101,118.74,1.32
2025-11-10,117.44,118.45,115.46,118.22,13048000,117.19,0.85
2025-11-07,115.21,117.51,114.9,117.22,17181149,116.2,2.38
2025-11-06,113.64,114.94,113.64,114.5,14219700,113.51,0.72
2025-11-05,114.09,115.18,113.67,113.68,12400921,112.69,-0.40
2025-11-04,113.38,114.35,112.51,114.14,16860741,113.15,0.33
2025-11-03,114.5,114.99,113.64,113.76,12290304,112.77,-0.52
2025-10-31,113.98,115.23,112.62,114.36,20213400,113.37,-0.29
2025-10-30,116.43,116.52,114.53,114.69,16172943,113.7,-1.51
2025-10-29,114.92,117.05,114.81,116.45,12570600,115.44,1.23
2025-10-28,115.49,116.18,114.99,115.03,9535211,114.03,-0.78
2025-10-27,115.7,115.99,115.1,115.94,10975412,114.93,0.48
2025-10-24,116.35,116.47,115.18,115.39,9919409,114.39,-0.51
2025-10-23,116.63,116.85,115.36,115.98,15001100,114.97,1.11
2025-10-22,113.45,115.18,113.08,114.71,12938800,113.72,1.77
2025-10-21,112.89,113.36,111.99,112.71,9202349,111.73,0.01
2025-10-20,112,113.15,111.98,112.7,9523617,111.72,0.41
2025-10-17,111.63,112.91,111.18,112.24,13460100,111.27,1.45
2025-10-16,111.88,112.19,110.39,110.64,11782202,109.68,-0.87
2025-10-15,112.8,113.57,110.97,111.61,12182935,110.64,-0.61
2025-10-14,110.76,112.96,110.71,112.29,11167200,111.32,0.04
2025-10-13,111.54,112.3,111.32,112.24,10296500,111.27,1.36
2025-10-10,112.26,112.62,110.71,110.73,13811600,109.77,-1.93
2025-10-09,114.43,115.51,112.74,112.91,10976215,111.93,-0.97
2025-10-08,114.38,115.01,113.41,114.02,12301000,113.03,-0.21
2025-10-07,114.07,114.51,111.74,114.26,11945032,113.27,0.05
2025-10-06,113.29,114.77,113.18,114.2,12036830,113.21,0.83
2025-10-03,111.9,113.75,111.9,113.26,12950118,112.28,1.77
2025-10-02,111.97,113.09,111.03,111.29,13062600,110.33,-0.63
2025-10-01,112.56,113.02,111.29,111.99,16614000,111.02,-0.67
2025-09-30,113.35,113.49,111.94,112.75,18076211,111.77,-1.29
2025-09-29,116.06,116.5,113.67,114.22,19189300,113.23,-2.56
2025-09-26,115.96,118.36,115.92,117.22,18568916,116.2,1.41
2025-09-25,114.64,115.9,114.41,115.59,15012600,114.59,0.90
2025-09-24,114.57,115.76,114.47,114.56,14756100,113.57,0.54
2025-09-23,112.72,114.75,112.48,113.95,25369106,112.96,1.72
2025-09-22,112.45,112.8,111.56,112.02,15611500,111.05,-0.71
2025-09-19,113.9,113.98,112.64,112.82,38746517,111.84,-0.97
2025-09-18,115.17,115.35,113.4,113.93,14628726,112.94,-1.18
2025-09-17,114.53,115.49,114.05,115.29,13302030,114.29,0.53
2025-09-16,112.96,115.32,112.78,114.68,17208044,113.69,2.07
2025-09-15,112.18,112.46,111.32,112.35,12880500,111.38,0.17
2025-09-12,112.86,113.22,111.88,112.16,11105700,111.19,0.02
2025-09-11,111.4,112.77,110.87,112.14,11534502,111.17,-0.32
2025-09-10,111.16,112.56,110.84,112.5,15837600,111.52,1.67
2025-09-09,110.53,112.51,110.53,110.65,14899502,109.69,0.73
2025-09-08,109.73,110.05,108.35,109.85,15440513,108.9,0.57
2025-09-05,111.6,111.78,109.02,109.23,16826700,108.28,-2.82
2025-09-04,112.11,113.13,111.38,112.4,12864438,111.43,0.44
2025-09-03,113.97,114.43,111.46,111.91,14920100,110.94,-2.42
2025-09-02,114.18,115.24,113.33,114.69,15206700,113.7,0.35
2025-08-29,113.72,114.79,113.58,114.29,14597900,113.3,0.83
2025-08-28,112.87,113.65,112.07,113.35,14189829,112.37,0.53
2025-08-27,111.42,112.98,111.42,112.75,15262630,111.77,1.13
2025-08-26,111.37,111.81,110.36,111.49,18143900,110.52,-0.22
2025-08-25,110.9,111.92,110.54,111.74,9744900,110.77,0.41
2025-08-22,109.6,111.41,109.6,111.28,13586700,110.32,1.88
2025-08-21,108.42,109.57,107.96,109.23,12194900,108.28,0.64
