Year,Revenue,Net Income,EPS (Basic),EPS (Diluted),EBITDA,Gross Profit,Operating Income,EBIT,Pretax Income,Cost of Revenue,Operating Expenses,Research & Development,Selling & General & Admin,Selling & Marketing Expenses,Cost & Expenses,Other Expenses,Interest Income,Interest Expense,Income Tax Expense,Depreciation & Amortization,Shares Outstanding (Basic),Shares Outstanding (Diluted)
2025,323905000000,28844000000,6.66,6.7,67864000000,70233000000,33938000000,41871000000,41268000000,253672000000,36295000000,0,11128000000,0,289967000000,25167000000,0,603000000,11504000000,25993000000,4331000000,4305000000
2024,339247000000,33680000000,7.84,7.84,73311000000,76742000000,39652000000,49869000000,48873000000,262505000000,37090000000,987000000,9976000000,0,299595000000,26127000000,0,996000000,13810000000,23442000000,4298000000,4298000000
2023,334697000000,36010000000,8.89,8.89,74273000000,84142000000,44461000000,53632000000,52783000000,250555000000,39681000000,879000000,10891000000,0,290236000000,27911000000,0,849000000,15429000000,20641000000,4052000000,4052000000
2022,398675000000,55740000000,13.26,13.26,102591000000,103067000000,64028000000,78551000000,77753000000,295608000000,39039000000,824000000,10095000000,0,334647000000,28120000000,0,798000000,20176000000,24040000000,4205000000,4205000000
2021,276692000000,23040000000,5.39,5.39,52788000000,64886000000,24019000000,32181000000,31234000000,211806000000,40867000000,843000000,10961000000,0,252673000000,29063000000,0,947000000,7636000000,20607000000,4275000000,4275000000
2020,178574000000,-22440000000,-5.25,-5.25,18284000000,8127000000,-29448000000,-27725000000,-28883000000,170447000000,37575000000,1016000000,11716000000,0,208022000000,24843000000,0,1158000000,-5632000000,46009000000,4271000000,4271000000
2019,255583000000,14340000000,3.36,3.36,39884000000,55958000000,12766000000,20886000000,20056000000,199625000000,43192000000,1214000000,11398000000,0,242817000000,30580000000,0,830000000,5282000000,18998000000,4270000000,4270000000
2018,279332000000,20840000000,4.92,4.92,50464000000,67733000000,22124000000,31719000000,30953000000,211599000000,45609000000,1116000000,11480000000,0,257208000000,33013000000,0,766000000,9532000000,18745000000,4237000000,4237000000
2017,237162000000,19710000000,4.63,4.63,39168000000,56362000000,13819000000,19275000000,18674000000,180800000000,42543000000,1063000000,10649000000,0,223343000000,31894000000,0,601000000,-1174000000,19893000000,4256000000,4256000000
2016,200628000000,7840000000,1.88,1.88,30730000000,43701000000,2771000000,8422000000,7969000000,156927000000,40930000000,0,10443000000,0,197857000000,30487000000,0,453000000,-406000000,22308000000,4170212766,4170212766
2015,239854000000,16150000000,3.85,3.85,40325000000,56216000000,12883000000,22277000000,21966000000,183638000000,43333000000,0,11501000000,0,226971000000,31832000000,0,311000000,5415000000,18048000000,4194805195,4194805195
2014,394105000000,32520000000,7.59,7.59,69213000000,80635000000,34082000000,51916000000,51630000000,313470000000,46553000000,0,12598000000,0,360023000000,33955000000,0,286000000,18015000000,17297000000,4278947368,4278947368
2013,420836000000,32580000000,7.37,7.37,74902000000,88384000000,40301000000,57720000000,57711000000,332452000000,48083000000,0,12877000000,0,380535000000,35206000000,0,9000000,24263000000,17182000000,4420624151,4420624152
2012,451509000000,44880000000,9.7,9.7,94941000000,101156000000,49881000000,79053000000,78726000000,350353000000,51275000000,0,13877000000,0,401628000000,37398000000,0,327000000,31045000000,15888000000,4628000000,4628000000
2011,467029000000,41060000000,8.43,8.42,89087000000,111141000000,54104000000,73504000000,73257000000,355888000000,57037000000,0,14983000000,0,412925000000,42054000000,0,247000000,31051000000,15583000000,4870699881,4875000000
2010,370125000000,30460000000,6.24,6.22,67978000000,93067000000,40122000000,53218000000,52959000000,277058000000,52945000000,0,14683000000,0,330003000000,38262000000,0,259000000,21561000000,14760000000,4885000000,4897000000
2009,303443000000,19280000000,3.99,3.98,47242000000,91674000000,28182000000,35325000000,34777000000,211769000000,63492000000,0,14735000000,0,275261000000,48757000000,0,548000000,15119000000,11917000000,4832000000,4844221106
2008,466278000000,45220000000,8.78,8.69,96449000000,178919000000,72989000000,84070000000,83397000000,287359000000,105930000000,0,15873000000,0,393289000000,90057000000,0,673000000,36530000000,12379000000,5149000000,5203682394
2007,395651000000,40610000000,7.36,7.28,84129000000,164268000000,62978000000,71879000000,71479000000,231383000000,101290000000,0,14890000000,0,332673000000,86400000000,0,400000000,29864000000,12250000000,5517663043,5578296703
2006,377635000000,39500000000,6.68,6.62,110904000000,164380000000,99488000000,99488000000,67402000000,213255000000,64892000000,0,14273000000,0,278147000000,50619000000,0,0,27902000000,11416000000,5913173653,5966767372
2005,370680000000,36130000000,5.76,5.71,70980000000,157678000000,60727000000,60727000000,59432000000,213002000000,96951000000,0,14402000000,0,309953000000,82549000000,0,0,23302000000,10253000000,6272569444,6327495622
2004,298035000000,25330000000,3.91,3.89,52422000000,134488000000,42655000000,42655000000,41241000000,163547000000,91833000000,0,13849000000,0,255380000000,77984000000,0,0,15911000000,9767000000,6478260870,6511568123
2003,246738000000,21510000000,3.24,3.23,65769000000,116810000000,56722000000,56722000000,31966000000,129928000000,60088000000,0,13396000000,0,190016000000,46692000000,0,0,11006000000,9047000000,6638888889,6659442724
2002,204506000000,11460000000,1.69,1.68,48877000000,94805000000,40567000000,40567000000,17510000000,109701000000,54238000000,0,12356000000,0,163939000000,41882000000,0,0,6499000000,8310000000,6781065089,6821428571
2001,212785000000,15320000000,2.23,2.21,55431000000,101610000000,47487000000,47487000000,23970000000,111175000000,54123000000,0,12898000000,0,165298000000,41225000000,0,0,8967000000,7944000000,6869955157,6932126697
2000,231846000000,17720000000,2.55,2.52,59645000000,104397000000,51644000000,51644000000,26881000000,127449000000,52753000000,0,12044000000,0,180202000000,40709000000,0,0,11075000000,8001000000,6949019608,7031746032
1999,182529000000,7910000000,1.14,1.13,17921000000,87466000000,9617000000,9617000000,11150000000,95063000000,77849000000,0,13134000000,0,172912000000,64715000000,0,0,3240000000,8304000000,6907017544,6999111111
1998,165627000000,8074000000,1.31,1.29,17256000000,84310000000,8901000000,8901000000,12083000000,81317000000,75409000000,0,12925000000,0,156726000000,62484000000,0,0,3939000000,8355000000,4873563218,4930232558
1997,176552000000,11732000000,1.71,1.69,24943000000,72384000000,16715000000,16715000000,19337000000,104168000000,55669000000,0,13574000000,0,159837000000,42095000000,0,0,7605000000,8228000000,4961876833,5020771513
1996,116728000000,7510000000,1.51,1.51,15387000000,46304000000,10058000000,10058000000,11916000000,70424000000,36246000000,0,7961000000,0,106670000000,28285000000,0,0,4406000000,5329000000,4972093023,5040201005
1995,107893000000,6470000000,1.3,1.3,14584000000,45541000000,9198000000,9198000000,10442000000,62352000000,36343000000,0,7629000000,0,98695000000,28714000000,0,0,3972000000,5386000000,4966795367,4989583333
1994,99683000000,5100000000,1.02,1.02,12049000000,40459000000,7034000000,7034000000,7804000000,59224000000,33425000000,0,7226000000,0,92649000000,26199000000,0,0,2704000000,5015000000,4970909091,5039370079
1993,97825000000,5280000000,1.05,1.05,12188000000,38942000000,7304000000,7304000000,8052000000,58883000000,31638000000,0,7009000000,0,90521000000,24629000000,0,0,2772000000,4884000000,4957238095,4980956938
1992,103160000000,4770000000,0.95,0.95,11928000000,40873000000,6884000000,6884000000,7287000000,62287000000,33989000000,0,7432000000,0,96276000000,26557000000,0,0,2477000000,5044000000,4983280423,4983280423
1991,102847000000,5600000000,1.12,1.12,12895000000,41599000000,8071000000,8071000000,8518000000,61248000000,33528000000,0,7881000000,0,94776000000,25647000000,0,0,2918000000,4824000000,4963677130,4963677130
1990,105519000000,5010000000,0.99,0.99,14151000000,41821000000,8606000000,8606000000,8180000000,63698000000,33215000000,0,7776000000,0,96913000000,25439000000,0,0,3170000000,5545000000,4989696970,4989696970
1989,86656000000,3510000000,0.69,0.69,12966000000,35981000000,7964000000,7964000000,5003000000,50675000000,28017000000,0,6398000000,0,78692000000,21619000000,0,0,2028000000,5002000000,5124087591,5124087591
1988,79557000000,5260000000,0.99,0.99,13077000000,35052000000,8287000000,8287000000,8384000000,44505000000,26765000000,0,5824000000,0,71270000000,20941000000,0,0,3124000000,4790000000,5313131313,5313131313
1987,76416000000,4840000000,0.86,0.86,11282000000,31987000000,7008000000,7008000000,7543000000,44429000000,24979000000,0,5621000000,0,69408000000,19358000000,0,0,2703000000,4274000000,5627906977,5627906977
1986,69888000000,5360000000,0.93,0.93,12266000000,30572000000,7851000000,7851000000,8556000000,39316000000,22721000000,0,5230000000,0,62037000000,17491000000,0,0,3196000000,4415000000,5763440860,5763440860
1985,86673000000,4870000000,0.81,0.81,14397000000,30940000000,10123000000,10123000000,9558000000,55733000000,20817000000,0,4824000000,0,76550000000,15993000000,0,0,4688000000,4274000000,6012345679,6012345679
