Year,PE Ratio,PEG Ratio,Return on Equity,Return on Invested Capital,Net Profit Margin,FCF Yield,Debt / Equity Ratio,Current Ratio,Forward PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,EV/EBITDA,Price to Fair Value,Return on Assets,Return on Capital Employed,Gross Profit Margin,Operating Profit Margin,EBITDA Margin,EBIT Margin,Pretax Profit Margin,FCF Margin,Bottom Line Profit Margin,Continuous Operations Margin,Free Cash Flow Per Share,Revenue Per Share,Net Income Per Share,Operating Cash Flow Per Share,Book Value Per Share,Tangible Book Value Per Share,Cash Per Share,Shareholders' Equity Per Share,Interest Debt Per Share,CapEx Per Share,Dividend Yield,Dividend Per Share,Payout Ratio,Dividend Yield %,Quick Ratio,Cash Ratio,Debt to Assets Ratio,Debt to Capital Ratio,LT Debt to Capital Ratio,Debt to Market Cap,Financial Leverage Ratio,Solvency Ratio,Interest Coverage,OCF Ratio,OCF/S Ratio,FCF/OCF Ratio,Debt Service Coverage,OCF Coverage Ratio,CapEx Coverage Ratio,Dividend & CapEx Coverage,ST OCF Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Payables Turnover,Fixed Asset Turnover,Working Capital Turnover,Effective Tax Rate,Net Income / EBT,EBT / EBIT
2025,0,0,0.1112,0.0634,0.08905080193266544,0,0.16784637567177874,1.1527996681874741,17.37,0,0,0,0,0.4841447601084522,0,0.0642,0.0901,0.21683209583056762,0.10477763541779225,0.20951822293573732,0.1292693845417638,0.12740772757444313,0.07,0.08905080193266544,0.09189114092094905,0,0,0,0,0,0,0,0,0,0,0,0,0.5973859381500486,0,0.7891607908198535,0.1476703995575833,0.09696868457392312,0.14372299231157754,0.1166139353669792,0,1.730933820637968,0.3007172861576933,56.281923714759536,0.7185123738421125,0.16044827958815086,0.45433904175485856,5.693504394383271,1.193697314927533,1.8326398194513012,1.1399679747307465,5.590576592082616,0.7214241168871665,9.64458976503688,7.2686369552533545,4.164633645811102,1.0819445975421966,19.789521918435923,0.27876320635843754,0.6989434913249976,1.2159820849784901
2024,13.727311757719715,-1.1622457288202679,0.1277,0.0733,0.09927869664285904,0.0664,0.15816916630325553,1.3084045685351386,14.82,1.3628296197166077,1.7532313001270357,15.051955332725615,8.402745447275635,6.561319038070685,1.7532313001270357,0.0743,0.1035,0.22621275943486605,0.11688238952739449,0.21609918437009024,0.14699908915922616,0.1440631752086238,0.09,0.09927869664285904,0.10335537233932798,7.14657980456026,78.93136342484877,7.83620288506282,12.801768264308981,62.960912052117266,62.960912052117266,5.3580735225686364,61.3552815262913,9.936249418334109,5.655188459748721,0.03612957904671293,3.8864588180549093,0.49596199524940615,3.6129579046712927,0.9738148406275335,0.32754917718008164,0.09197860962566845,0.13656827595239265,0.11063407856085312,0.08167006556662076,1.719629889459813,0.3123656825377729,39.81124497991968,0.7825963275349539,0.1621886118373928,0.5582494275017266,9.9984876491346,1.3191560776792137,2.263720891960833,1.341672762740795,11.10433905146317,0.7481051877170737,11.159029076687638,7.766465969185687,7.262553603541292,1.1526546116785246,12.807573240712776,0.2825691076872711,0.6891330591533157,1.232548169070917
2023,11.246345115801166,-0.3412506550011979,0.1758,0.0999,0.10758984992396108,0.0826,0.20299118172674094,1.4791015983832445,12.03,1.20999258320212,1.9774264295270554,12.107051946786248,7.31421711824306,5.587695227336987,1.9774264295270554,0.0957,0.143,0.25139753269374987,0.1328395533870934,0.22191116143855488,0.1602404562933041,0.1577038336166742,0.1,0.10758984992396108,0.11160542221770736,8.257997111058827,82.62860565261754,8.889999281591283,13.669268820395105,52.47049895336984,52.47049895336984,7.786217365790265,50.56066739429208,10.47296721809679,5.411271709336277,0.03689309904920594,3.68857204293961,0.4149125242988059,3.6893099049205937,1.0945097678976055,0.4828679037295609,0.11047335092488514,0.16873871131405377,0.14110053806506268,0.09317723663889875,1.8374674075448483,0.345899046886353,52.36866902237927,0.8477095964235409,0.16543022494973064,0.604128664053893,11.914152662482284,1.3318499987972963,2.5260732697659565,1.5021432447097125,13.537652811735942,0.889401754371979,9.974323248407643,8.804340391950547,8.01801657653045,1.557164790174002,11.179111207601997,0.29231002406077716,0.6822272322528087,1.1871752772092397
2022,8.320981341944742,0.05698867780569525,0.2858,0.1577,0.13981313099642567,0.1259,0.21119308481458504,1.414019842131943,11.91,1.163382454380134,2.3779229834554396,7.943337900325398,6.039448155526908,4.633588716359135,2.3779229834554396,0.151,0.2134,0.25852386028720137,0.16060199410547438,0.2573299053113438,0.19703016241299304,0.1950285320122907,0.15,0.13981313099642567,0.14442089421207752,13.885850178359096,94.80975029726515,13.25564803804994,18.263258026159335,48.15053507728894,48.15053507728894,7.048751486325803,46.38501783590963,9.985969084423306,4.377407847800238,0.032209205679462456,3.5526753864447085,0.26801219949766775,3.220920567946245,1.0601202114562966,0.4292852487508147,0.11161388040653865,0.17436780928031426,0.16038982562018692,0.08170129459920679,1.8921758122317982,0.4788887955148445,80.23558897243107,1.1122746035194437,0.19263058882548442,0.7603161581832624,57.552374301675975,1.864321608040201,4.172162764165806,2.303034846758232,121.13091482649843,1.080223915982735,12.097728667894414,9.549330522886775,8.912177032771563,1.947682371563129,25.640737048589894,0.259488379869587,0.716885522102041,1.2143593427875305
2021,11.35361328125,-0.056021118164062515,0.1367,0.0633,0.08326948375811372,0.1378,0.28298047776387053,1.0443302791165723,3.81,0.945409516718951,1.5517374849475312,7.255630599395334,5.435127469924577,5.730265401227552,1.5517374849475312,0.068,0.0851,0.23450623798302805,0.0868077139924537,0.19078253075621993,0.11630621774391743,0.11288363957035259,0.13,0.08326948375811372,0.08528616656788053,8.43345029239766,64.72327485380117,5.389473684210526,11.258245614035088,41.09543859649123,41.09543859649123,1.5911111111111111,39.43321637426901,11.380350877192983,2.824795321637427,0.057051710280222,3.4909941520467838,0.6477430555555556,5.7051710280222,0.7127800434299031,0.12008544745158271,0.14075173416970815,0.2205649132378711,0.1977986418771979,0.17524554426869046,2.010493720970239,0.2673793187944131,25.36325237592397,0.8496901647158519,0.17394431353273676,0.7490909846454321,8.644840130193375,1.0089091061546203,3.9855084465054653,1.7825555555555554,11.255612722170252,0.8163860227839361,11.278274760383386,8.544359694901646,7.955752544792097,1.2777162067309469,-61.7685009487666,0.24447717231222385,0.737657680732535,1.3003871934718347
2020,-7.845393048128342,0.030616167992695967,-0.1428,-0.0799,-0.1256621904644573,-0.0148,0.43041679923639836,0.7964977023934141,6.43,0.9858692754824331,1.1202712058542794,-67.34912777352716,12.002360239978184,13.089401662655874,1.1202712058542794,-0.0674,-0.1065,0.04551054464815707,-0.164906425347475,0.10238892559947137,-0.15525776428819424,-0.16174247090841892,-0.01,-0.1256621904644573,-0.13020372506635905,-0.6120346523062514,41.81081713884336,-5.254038866775931,3.4343245141653007,38.428939358464056,38.428939358464056,1.0217747600093654,36.79466167173964,16.10817138843362,4.046359166471552,0.08443594234430984,3.4804495434324516,-0.6624331550802139,8.443594234430984,0.46205844259531964,0.0774266806238135,0.20327573253193087,0.3009030650829663,0.2245326964451375,0.37466496851871356,2.117403754374801,0.13977582730399715,-25.430051813471504,0.26024164788957294,0.08213961718951247,-0.17821107172075265,1.1064026646928202,0.21685393258426966,0.8487443582918643,0.4562789684885059,0.7169811320754716,0.5366611570247933,9.042281167108753,8.676643506146446,9.740385164866563,0.7847578366358606,-14.057070885976305,0.1949935948481806,0.7769276044732195,0.9808136375984787
2019,20.77828451882845,-0.6553151271322817,0.0748,0.0295,0.056107018072407006,0.018,0.24482128880772241,0.7821969400990795,0,1.1658075850115226,1.5547122358465952,55.64156862745098,10.026941714901064,8.569641961688898,1.5547122358465952,0.0395,0.0428,0.21894257442787665,0.04994854900365048,0.15605106755926645,0.08171905017156852,0.07847157283543897,0.02,0.056107018072407006,0.05780509658310608,1.2540983606557377,59.85550351288056,3.358313817330211,6.959250585480094,46.58969555035129,46.58969555035129,0.7234192037470726,44.88290398126464,11.182669789227166,5.705152224824356,0.049174286801677805,3.431381733021077,1.0217573221757321,4.91742868016778,0.49264717373298533,0.048273922080357565,0.1293998571416752,0.19667183635830154,0.114052199961169,0.15186571647392305,1.891974954343856,0.203704043162918,15.380722891566265,0.4643923174295582,0.11626751388003115,0.18020594965675057,1.616311659192825,0.6333333333333333,1.2198185624563853,0.7616948196754928,1.4440664787637283,0.7048679387860352,10.774233592400691,9.477972261366165,8.083947517615615,1.0101376186674467,-22.12648255562289,0.26336258476266455,0.7149980055843638,1.571048096506345
2018,13.863773032629558,2.213423073830166,0.1087,0.05,0.0746065613678347,0.0569,0.19706560163508766,0.8395988659036018,20.96,1.034328433548609,1.5064132871726956,17.57427189781022,8.022464319431332,6.413978876030438,1.5064132871726956,0.0602,0.0765,0.24248206435352915,0.07920324202024831,0.18065957355405038,0.11355304798590925,0.11081079145962511,0.06,0.0746065613678347,0.0766865235633583,3.8801038470616,65.92683502478168,4.9185744630634884,8.499881991975455,46.85579419400519,46.85579419400519,0.7179608213358508,45.26646211942412,9.101250885060184,4.619778144913854,0.04775699435932372,3.2565494453622845,0.6620921305182341,4.775699435932372,0.5078056634813959,0.05323952535965557,0.10917514933736958,0.16462389476893594,0.0911486099066953,0.1263078703547471,1.8050408250518786,0.2680675569520817,28.882506527415142,0.6302985753789072,0.1289290163676199,0.4564891431110124,2.270972037283622,0.9528521536670547,1.8398896495350976,1.0791681649286828,2.086800324487194,0.8068608533894095,11.161462179554805,11.30853001902757,10.046004842615012,1.1304365421426865,-28.212503787496214,0.30795076406164185,0.6732788421154654,1.3990688844693546
2017,18.06046879756469,0.12346793214335132,0.105,0.0447,0.08310774913350367,0.0412,0.22556583265845445,0.8158764778175901,12.81,1.500964910061477,1.8966148075529603,24.275220949263502,11.839680702454599,10.088103553921568,1.8966148075529603,0.0565,0.0475,0.2376519003887638,0.05826818798964421,0.16515293343790322,0.08127355984516912,0.0787394270582977,0.06,0.08310774913350367,0.0836896298732512,3.4454887218045114,55.724154135338345,4.631109022556391,7.0643796992481205,45.70018796992481,45.70018796992481,0.7464755639097744,44.099624060150376,10.08858082706767,3.618890977443609,0.03652255189623988,3.054746240601504,0.6596144089294774,3.6522551896239888,0.5217496667878347,0.05499298956223711,0.12141408869170699,0.1840503599624387,0.10950006405177282,0.11520293290615348,1.8578225565832658,0.256843784656692,22.99334442595674,0.5204341278496132,0.12677410377716497,0.4877270005986829,2.1770007015271706,0.7101757369614512,1.9520841449162447,1.058550153152836,1.6768544339096487,0.6801494733159158,10.64030131826742,9.265226393718013,8.331413298926316,0.9387721173257333,-28.13476481404591,-0.06286815893756025,1.0554782049908964,1.3513278819017296
2016,48.010638298362245,-0.9382789718207849,0.0469,0.0093,0.039077297286520325,0.0157,0.25556252801434337,0.8693899827868509,16.44,1.8761259857007,2.2495347632401614,63.59239808399392,17.045711632060502,13.521262748426945,2.2495347632401614,0.0237,0.0098,0.217821041928345,0.013811631477161712,0.15316904918555735,0.04197818848814722,0.03972027832605619,0.03,0.039077297286520325,0.04174392407839384,1.4193520408018434,48.10977550971317,1.8799999999808163,5.295173469333723,41.683724489370576,41.683724489370576,0.8769336734604395,40.1238520404069,10.362780612139156,3.8758214285318795,0.03308418536891314,2.9861785713981,1.5883928571428572,3.308418536891314,0.5528359712834292,0.07676644695411226,0.12945863632785773,0.20354424595524712,0.14206386644242996,0.11035234944740585,1.9740863588824145,0.1926586743692646,6.116997792494481,0.46353751207019606,0.11006439779093646,0.26804637261117653,2.179934187495624,0.5163930592582199,1.3662067685454433,0.7716662007268661,1.5966738973246566,0.607385699667589,10.40629973474801,9.377769468075162,8.815628335486771,0.8214917452830188,-22.831066856330015,-0.05094742125737232,0.9838122725561551,2.875857091302779
