Quarter,Revenue,Net Income,EPS (Basic),EPS (Diluted),EBITDA,Gross Profit,Operating Income,EBIT,Pretax Income,Cost of Revenue,Operating Expenses,Research & Development,Selling & General & Admin,Selling & Marketing Expenses,Cost & Expenses,Other Expenses,Interest Income,Interest Expense,Income Tax Expense,Depreciation & Amortization,Shares Outstanding (Basic),Shares Outstanding (Diluted)
2025-12-31,80039000000,6501000000,1.5,1.53,15792000000,15116000000,6003000000,8077000000,8031000000,64923000000,9113000000,0,2617000000,0,74036000000,6496000000,0,-80000000,1422000000,7715000000,4331000000,4238000000
2025-09-30,83331000000,7548000000,1.76,1.76,17614000000,18685000000,9178000000,11139000000,10932000000,64646000000,9507000000,0,3032000000,0,74153000000,6475000000,0,207000000,3164000000,6475000000,4331000000,4331000000
2025-06-30,79477000000,7082000000,1.64,1.64,16951000000,17947000000,8911000000,10850000000,10705000000,61530000000,9036000000,0,2528000000,0,70566000000,6508000000,0,271000000,3351000000,6101000000,4331000000,4331000000
2025-03-31,81058000000,7713000000,1.76,1.76,17507000000,18485000000,9846000000,11805000000,11600000000,62573000000,8639000000,0,2540000000,0,71212000000,6099000000,0,205000000,3567000000,5702000000,4462000000,4462000000
2024-12-31,81058000000,7610000000,1.72,1.72,16695000000,17247000000,7773000000,10110000000,9813000000,63811000000,9474000000,0,2617000000,0,73285000000,6857000000,0,297000000,1858000000,6585000000,4462000000,4462000000
2024-09-30,87792000000,8610000000,1.93,1.92,19491000000,20392000000,11042000000,13233000000,13026000000,67400000000,9350000000,0,2296000000,0,76750000000,7054000000,0,207000000,4055000000,6258000000,4462000000,4462000000
2024-06-30,89986000000,9240000000,2.14,2.14,19723000000,20196000000,10896000000,13936000000,13665000000,69790000000,9300000000,0,2568000000,0,79090000000,6732000000,0,271000000,4094000000,5787000000,4317000000,4317000000
2024-03-31,80411000000,8220000000,2.06,2.06,17402000000,18907000000,9941000000,12590000000,12369000000,61504000000,8966000000,0,2495000000,0,70470000000,6471000000,0,221000000,3803000000,4812000000,3998000000,3998000000
2023-12-31,81688000000,7630000000,1.91,1.91,18637000000,17703000000,8458000000,10897000000,10625000000,63985000000,9245000000,879000000,2591000000,0,73230000000,5775000000,0,272000000,2613000000,7740000000,3971000000,4010000000
2023-09-30,88570000000,9070000000,2.25,2.25,18283000000,22383000000,11844000000,13868000000,13699000000,66187000000,10539000000,0,2489000000,0,76726000000,8050000000,0,169000000,4353000000,4415000000,4025000000,4025000000
2023-06-30,80795000000,7880000000,1.94,1.94,16147000000,20095000000,9950000000,11905000000,11656000000,60700000000,10145000000,0,2449000000,0,70845000000,7696000000,0,249000000,3503000000,4242000000,4066000000,4066000000
2023-03-31,83644000000,11430000000,2.79,2.79,21206000000,23961000000,14209000000,16962000000,16803000000,59683000000,9752000000,0,2390000000,0,69435000000,7362000000,0,159000000,4960000000,4244000000,4102000000,4102000000
2022-12-31,93164000000,12750000000,3.12,3.08,24113000000,26974000000,16884000000,19049000000,18842000000,66190000000,10090000000,0,2832000000,0,76280000000,7258000000,0,207000000,5787000000,5064000000,4082000000,4138000000
2022-09-30,106512000000,19660000000,4.7,4.68,31273000000,29356000000,20227000000,25631000000,25422000000,77156000000,9129000000,0,2324000000,0,86285000000,6805000000,0,209000000,5224000000,5642000000,4185000000,4200854701
2022-06-30,111265000000,17850000000,4.22,4.21,29578000000,30515000000,20831000000,25127000000,24933000000,80750000000,9684000000,0,2530000000,0,90434000000,7154000000,0,194000000,6359000000,4451000000,4233000000,4239904988
2022-03-31,87734000000,5480000000,1.28,1.28,17627000000,16222000000,6086000000,8744000000,8556000000,71512000000,10136000000,0,2409000000,0,81648000000,7727000000,0,188000000,2806000000,8883000000,4266000000,4266000000
2021-12-31,81305000000,8870000000,2.08,2.08,17611000000,19372000000,8390000000,11950000000,11729000000,61933000000,10982000000,0,2514000000,0,72915000000,8468000000,0,221000000,2650000000,5661000000,4264423077,4275000000
2021-09-30,71892000000,6750000000,1.58,1.57,14810000000,18438000000,8072000000,9820000000,9606000000,53454000000,10366000000,0,2287000000,0,63820000000,8079000000,0,214000000,2664000000,4990000000,4276000000,4299363057
2021-06-30,65943000000,4690000000,1.1,1.1,11513000000,15191000000,4924000000,6561000000,6307000000,50752000000,10267000000,0,2345000000,0,61019000000,7922000000,0,254000000,1526000000,4952000000,4263636364,4276000000
2021-03-31,57552000000,2730000000,0.64,0.64,8854000000,11885000000,2633000000,3850000000,3592000000,45667000000,9252000000,0,2428000000,0,54919000000,6824000000,0,258000000,796000000,5004000000,4265625000,4272000000
2020-12-31,45738000000,-20070000000,-4.7,-4.7,3991000000,-16594000000,-26709000000,-26300000000,-26613000000,62332000000,10115000000,0,2736000000,0,72447000000,7379000000,0,313000000,-6010000000,30291000000,4270212766,4272000000
2020-09-30,45425000000,-680000000,-0.15,-0.15,4890000000,9389000000,-595000000,-93000000,-372000000,36036000000,9984000000,0,2444000000,0,46020000000,7540000000,0,279000000,337000000,4983000000,4533333333,4533333333
2020-06-30,32277000000,-1080000000,-0.26,-0.25,3593000000,6397000000,-1380000000,-1323000000,-1640000000,25880000000,7777000000,0,2409000000,0,33657000000,5368000000,0,317000000,-471000000,4916000000,4153846154,4271000000
