Quarter,PE Ratio,PEG Ratio,Return on Equity,Return on Invested Capital,Net Profit Margin,FCF Yield,Debt / Equity Ratio,Current Ratio,Forward PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,EV/EBITDA,Price to Fair Value,Return on Assets,Return on Capital Employed,Gross Profit Margin,Operating Profit Margin,EBITDA Margin,EBIT Margin,Pretax Profit Margin,FCF Margin,Bottom Line Profit Margin,Continuous Operations Margin,Free Cash Flow Per Share,Revenue Per Share,Net Income Per Share,Operating Cash Flow Per Share,Book Value Per Share,Tangible Book Value Per Share,Cash Per Share,Shareholders' Equity Per Share,Interest Debt Per Share,CapEx Per Share,Dividend Yield,Dividend Per Share,Payout Ratio,Dividend Yield %,Quick Ratio,Cash Ratio,Debt to Assets Ratio,Debt to Capital Ratio,LT Debt to Capital Ratio,Debt to Market Cap,Financial Leverage Ratio,Solvency Ratio,Interest Coverage,OCF Ratio,OCF/S Ratio,FCF/OCF Ratio,Debt Service Coverage,OCF Coverage Ratio,CapEx Coverage Ratio,Dividend & CapEx Coverage,ST OCF Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Payables Turnover,Fixed Asset Turnover,Working Capital Turnover,Effective Tax Rate,Net Income / EBT,EBT / EBIT
2025-12-31,0,0,0.0251,0.0128,0.08122290383438074,0,0.27085887441881984,1.1527996681874741,17.59,0,0,0,0,3.772543059777102,0,0.0145,0.0159,0.18885793175826784,0.07500093704319144,0.19730381439048464,0.10091330476392758,0.10033858493984182,0.07,0.08122290383438074,0.08257224603006035,0,0,0,0,0,0,0,0,0,0,0,0,0.6715889863097985,0,1.1527996681874741,0.1476703995575833,0.15648135774422023,0.21313056852413065,0.19029677193792982,0,1.730933820637968,0.07795825701657216,-75.0375,0.17529379234066086,0.15841027499094193,0.41241422825143936,1.5592447916666667,0.1804660033875628,1.7018791946308724,1.0730365605958023,1.3639199655765921,0.17826851975589114,0,1.7961267447601095,1.0658665922411388,0.26735543953529545,7.374487492513936,0.17706387747478522,0.8094882330967501,1.3378310844577712
2025-09-30,16.173829160042395,2.2104233185391253,0.029,0.0169,0.09057853619901357,0.0124,0.16132882511196994,1.1368657675016056,16.34,5.860007080198246,1.874111052690157,80.56760435571688,33.02138558290506,29.325664244351085,1.874111052690157,0.0166,0.0244,0.2242262783357934,0.11013908389434904,0.21137391846971715,0.13367174280879865,0.13118767325485114,0.07,0.09057853619901357,0.09321861012108339,1.3994458554606326,19.24059108750866,1.742784576310321,3.414453936735165,61.930962826137154,57.010851997229274,3.1895636111752483,60.16185638420688,9.753636573539598,2.0150080812745323,0.008686922158153384,0.979450473331794,0.5620031796502385,0.8686922158153384,0.7869877970456005,0.17744380218368658,0.09252101950081437,0.13891743804466006,0.11188029381188541,0.08608285239041387,1.743699172170816,0.0753450786333328,44.33816425120773,0.18995504174694927,0.1774609689071294,0.4098593454152015,1.5341331351523517,0.3517937006375488,1.6945112868110461,1.1402575372041022,1.6052974381241858,0.18341110181802175,2.373375431382627,1.8401457436237165,0.9887430791349301,0.2792706140997627,6.038040721686834,0.28942553969996343,0.6904500548847421,1.191109174112007
2025-06-30,16.481283535724373,-2.417254918572906,0.027,0.0159,0.08910754054632158,0.0113,0.1484769205576691,1.2486319156115668,15.48,5.874426563659926,1.777967424874235,88.64283273210556,40.422666666666665,28.996448587104005,1.777967424874235,0.0158,0.0235,0.22581375743925916,0.11212048768826201,0.21328182996338563,0.13651748304540937,0.1346930558526366,0.07,0.08910754054632158,0.09252991431483322,1.2161163703532671,18.35072731470792,1.6351881782498268,2.6668205957053797,62.33248672362041,57.47425536827522,3.313784345416763,60.63103209420457,9.064881089817595,1.4507042253521127,0.009184337449007436,0.9900715770030016,0.6054786783394521,0.9184337449007437,0.8764102639339212,0.21056029107554172,0.08710737560796877,0.1292815884237123,0.11334974321572917,0.08350935932820684,1.70452753881482,0.0742139781011625,32.88191881918819,0.16945173926438872,0.1453250625967261,0.45601731601731604,2.390158172231986,0.29623740029239015,1.8382938086901162,1.09261186264308,2.1313895552684996,0.17756374595897648,2.4252098853021167,1.9017276033690658,1.0302218501465048,0.2690888283969176,4.627347093243283,0.3130312937879496,0.6615600186828585,1.2013242060374818
2025-03-31,17.200364968235448,7.39615693634123,0.0294,0.0178,0.09515408719682203,0.0133,0.1429316382460414,1.2357339256931559,16.92,6.546740112018554,2.0198906059683317,75.21837845499645,40.96855245888984,31.483444336551095,2.0198906059683317,0.0171,0.026,0.22804658392755806,0.12146857805521973,0.21598114930050089,0.14563645784499987,0.14310740457450222,0.09,0.09515408719682203,0.09910187766784279,1.5811295383236217,18.16629314208875,1.728597041685343,2.9029583146571043,60.4675033617212,55.94576423128642,3.818018825638727,58.879426266248316,8.461676378305693,1.3218287763334828,0.00816898534568828,0.9715374271627073,0.5620381174640218,0.8168985345688281,0.9041839927399802,0.23074943450405666,0.0830943466369261,0.12505703181459416,0.11105998111949869,0.07076206890794479,1.7201126674786846,0.07366750502465651,48.02926829268293,0.17544596296848122,0.15979915615978682,0.5446614683857022,2.82586661260896,0.34494420920880936,2.1961681926076637,1.2658067038014267,2.7396362098138747,0.1793683670127548,2.5562954489745895,1.7505993132194457,0.9779017612952631,0.2769831127027193,4.147568245196613,0.3075,0.6649137931034482,1.1781434084907576
2024-12-31,15.76798094612352,-1.4491525345723053,0.0289,0.0162,0.09388339213896223,0.0112,0.15816916630325553,1.3084045685351386,14.82,5.921406153618396,1.8201298420583605,89.01656899109793,39.24910785836945,29.868723569931117,1.8201298420583605,0.0168,0.0203,0.21277356954279653,0.09589429791013843,0.20596363098028572,0.12472550519381184,0.1210614621628957,0.07,0.09388339213896223,0.09813960374053148,1.2084267144778127,18.16629314208875,1.7055132227700582,2.740699238009861,60.64679515912147,60.64679515912147,5.1611385029134915,59.1001792917974,9.414388166741372,1.5322725235320485,0.009106679911180807,0.9796055580457194,0.5743758212877792,0.9106679911180807,0.9738148406275335,0.32754917718008164,0.09197860962566845,0.13656827595239265,0.11063407856085312,0.07866829713252713,1.719629889459813,0.07762387282699637,26.171717171717173,0.17393716130684,0.15086728021910237,0.44091912666612154,2.825019040365575,0.2931910812754735,1.7886499926868509,1.0910956459671663,2.4680121089808273,0.17874855284194277,2.712591396021085,1.8556809596849888,1.7654170701341818,0.27540959098661993,3.5212754403874977,0.18934067053908082,0.7755018852542546,1.2624469316866074
2024-09-30,15.186865272938444,-1.5476138897184881,0.0321,0.0191,0.09807271733187534,0.0218,0.1584187168642402,1.347977654908348,16.02,5.9576685802806635,1.9473239709298862,45.84412656674555,29.770370539017588,27.63632650967113,1.9473239709298862,0.0186,0.0282,0.23227628941133588,0.12577455804629123,0.22201339529797703,0.15073127392017496,0.14837342810278842,0.13,0.09807271733187534,0.10218470931292145,2.5569251456745854,19.675481846705512,1.9296279695203944,3.9374719856566562,61.94531600179292,61.94531600179292,6.0345136709995515,60.1954280591663,9.582474226804123,1.3805468399820708,0.008106522148280374,0.9502465262214254,0.4924506387921022,0.8106522148280374,1.006872115783007,0.3846956124183847,0.09211631552057084,0.13675427939654564,0.12084056168374194,0.08135200882295517,1.7197682730684458,0.08014403070355118,53.34299516908212,0.251010815367251,0.2001207399307454,0.649382434970687,2.6436033567391677,0.4129024676850764,2.8521103896103894,1.689326923076923,3.1194957386363638,0.1900605304860624,2.8230366492146595,2.115215034333213,1.1137182325919561,0.2930864683868426,3.5235897332985493,0.31130047597113464,0.6609857208659604,1.1796775946386524
2024-06-30,13.427551948051946,3.4575946266233775,0.0344,0.0192,0.10268263952170338,0.0087,0.16089864197760848,1.3600045221372752,15.61,5.515105905363057,1.8490054954266872,114.74735722543353,46.99643181818182,26.010663692136085,1.8490054954266872,0.0201,0.0279,0.22443491209743738,0.12108550218922944,0.21917853888382638,0.15486853510546084,0.15185695552641523,0.05,0.10268263952170338,0.10636098948725357,1.0018531387537641,20.84456798702803,2.1403752605976374,2.4461431549687283,63.99490386842715,63.99490386842715,6.1292564280750526,62.173963400509614,10.06648135279129,1.4442900162149641,0.008634198373216278,0.9925874449849432,0.46374458874458874,0.8634198373216277,1.0137359919732063,0.3739242259372836,0.09373853664042439,0.13859835489471775,0.11989703905302161,0.0870190177236215,1.7164620629272926,0.08147320823461161,40.20664206642066,0.14923053007927872,0.11735158802480386,0.4095643939393939,2.267701683110853,0.2445236882322975,1.693664795509222,1.0038022813688212,1.5949252378794745,0.1953215384181269,2.8482226666122514,2.089247985883773,1.1610960453857289,0.3016799482370769,3.4001246906349776,0.2995975118916941,0.6761800219538968,1.2541299559471366
2024-03-31,14.225243917274938,1.8113477254663388,0.04,0.0219,0.10222481998731517,0.0205,0.19702801461632155,1.3817522003309186,15.63,5.816691994876323,2.278811303288672,48.772264859228365,31.896209765411893,27.28686472819216,2.278811303288672,0.0218,0.0325,0.2351295220803124,0.12362736441531631,0.21641317730161297,0.15657061844772482,0.15382223825098557,0.12,0.10222481998731517,0.10652771386999291,2.3986993496748372,20.1128064032016,2.0560280140070035,3.6678339169584793,53.289644822411205,53.289644822411205,8.334167083541772,51.33816908454227,10.170335167583792,1.2691345672836418,0.008141518404300023,0.9524762381190596,0.4632603406326034,0.8141518404300022,1.055129934233395,0.4632861055880758,0.10700734021666075,0.16459766372257723,0.1356548178031946,0.0864608729700349,1.8412570036540803,0.07904601312581126,44.98190045248869,0.20389037972219518,0.18236310952481627,0.6539825422804146,1.6097301136363635,0.3626112759643917,2.8900275916436735,1.6509795091195676,1.7824237267533731,0.21277367047878112,2.6181942020348217,1.9920477629688351,1.0331423963985151,0.3762393378344867,2.7374423394440757,0.30746220389683887,0.6645646373999515,1.2442410220299769
2023-12-31,13.008538007863695,-0.8608591328733323,0.0373,0.0202,0.09340417197140338,0.0188,0.20299118172674094,1.4791015983832445,12.03,4.860206884732151,1.9385581195496138,53.262755567480546,29.017729864054964,21.84120727584912,1.9385581195496138,0.0203,0.0272,0.2167148173538341,0.10354029967681912,0.22814856527274507,0.1333978062873372,0.13006806385270786,0.09,0.09340417197140338,0.09808050142003721,1.8771090405439437,20.571140770586755,1.921430370183833,3.4454797280282046,53.52253840342483,53.52253840342483,7.942331906320826,51.57441450516243,10.537647947620247,1.568370687484261,0.009669523932487328,0.9667590027700831,0.5031454783748361,0.9669523932487328,1.0945097678976055,0.4828679037295609,0.11047335092488514,0.16873871131405377,0.14110053806506268,0.09504545079250049,1.8374674075448483,0.09384597536924759,31.095588235294116,0.20947394206626246,0.1674909411419058,0.5448033913170589,3.6735442457588263,0.3291078344117576,2.1968529222864484,1.3590940697327902,3.3452322738386306,0.2170723087184475,2.547173566878981,2.1488359857950807,2.0475855227367274,0.38005024658044106,2.6674068148051395,0.24592941176470587,0.7181176470588235,1.2562071411681248
2023-09-30,13.044638919514883,0.8163419194793179,0.0454,0.0264,0.10240487749802415,0.0233,0.20657175906220737,1.4208130812238362,14.02,5.34333860223552,2.369816677766483,42.85606266413112,29.647278080561296,26.33968714106,2.369816677766483,0.0244,0.0393,0.252715366376877,0.13372473749576605,0.20642429716608332,0.15657671897933836,0.15466862368747883,0.12,0.10240487749802415,0.10552105679123856,2.7436024844720497,22.004968944099378,2.253416149068323,3.965962732919255,51.56099378881988,51.56099378881988,8.184844720496894,49.61565217391304,10.291180124223603,1.222360248447205,0.00773993971594865,0.9100621118012422,0.40385887541345095,0.773993971594865,1.077346669288905,0.46278762678054675,0.11081800574331312,0.1712055313003204,0.15456388937103377,0.0871678223046764,1.8640631337536242,0.08186321527870524,70.0828402366864,0.2242435310313826,0.1802303262955854,0.691787258034204,2.835912052117264,0.3869536760962839,3.2445121951219513,1.859839217056973,3.3655913978494625,0.23792574524726065,2.707034764826176,2.118190079877553,1.0631254316783656,0.4302396751221692,2.9572127343450028,0.31776042046864733,0.6620921235126651,1.1566193853427895
